question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
421,C,A,True,True,1.0,1.0,1.0
499,C,A,False,True,0.3333333333333333,0.75,0.5
898,B,A,False,False,0.42857142857142855,0.5,0.38461538461538464
802,D,A,False,False,0.2,0.3333333333333333,0.2
631,B,A,False,False,0.25,0.0,0.14285714285714285
94,C,A,False,False,0.25,0.0,0.14285714285714285
894,A,B,False,True,0.0,0.0,0.125
588,A,B,False,False,0.2,0.0,0.125
382,C,A,False,False,0.0,0.25,0.09090909090909091
252,A,B,False,False,0.2,0.0,0.09090909090909091
182,B,A,False,False,0.14285714285714285,0.0,0.08333333333333333
811,D,A,False,False,0.0,0.25,0.07142857142857142
834,C,A,False,False,0.0,0.0,0.0
825,C,A,False,False,0.0,0.0,0.0
821,C,A,False,False,0.0,0.0,0.0
820,C,A,False,False,0.0,0.0,0.0
818,A,B,False,False,0.0,0.0,0.0
835,C,A,False,False,0.0,0.0,0.0
840,D,A,False,False,0.0,0.0,0.0
817,C,A,False,False,0.0,0.0,0.0
814,D,A,False,False,0.0,0.0,0.0
812,D,A,False,False,0.0,0.0,0.0
808,C,A,False,False,0.0,0.0,0.0
806,A,B,False,False,,,0.0
805,B,A,False,False,0.0,0.0,0.0
799,B,A,False,False,0.0,0.0,0.0
797,D,A,False,False,0.0,0.0,0.0
795,C,A,False,False,0.0,0.0,0.0
794,D,A,False,False,0.0,0.0,0.0
836,A,B,False,False,0.0,0.0,0.0
924,A,B,False,False,0.0,0.0,0.0
923,C,A,False,False,0.0,0.0,0.0
921,A,B,False,False,0.0,0.0,0.0
915,A,B,False,False,0.0,0.0,0.0
914,C,A,False,False,0.0,0.0,0.0
912,B,A,False,False,0.0,0.0,0.0
907,A,B,False,False,0.0,0.0,0.0
897,B,A,False,False,0.0,0.0,0.0
883,B,A,False,False,0.0,0.0,0.0
878,C,A,False,False,0.0,0.0,0.0
877,B,A,False,False,0.0,0.0,0.0
854,B,A,False,False,0.0,0.0,0.0
875,D,A,False,False,0.0,0.0,0.0
873,C,A,False,False,0.0,0.0,0.0
869,A,B,False,False,0.0,0.0,0.0
864,D,A,False,False,0.0,0.0,0.0
863,A,B,False,False,0.0,0.0,0.0
857,C,A,False,False,0.0,0.0,0.0
855,B,A,False,False,0.0,0.0,0.0
793,B,A,False,False,0.0,0.0,0.0
848,B,A,False,False,0.0,0.0,0.0
847,C,A,False,False,0.0,0.0,0.0
845,A,B,False,False,0.0,0.0,0.0
876,D,A,False,False,0.0,0.0,0.0
703,D,A,False,False,0.0,0.0,0.0
697,D,A,False,False,0.0,0.0,0.0
696,D,A,False,False,0.0,0.0,0.0
692,C,A,False,False,0.0,0.0,0.0
691,B,A,False,False,0.0,0.0,0.0
688,A,B,False,False,0.0,0.0,0.0
683,C,A,False,False,0.0,0.0,0.0
682,D,A,False,False,0.0,0.0,0.0
679,B,A,False,False,0.0,0.0,0.0
678,B,A,False,False,0.0,0.0,0.0
675,C,A,False,False,0.0,0.0,0.0
783,B,A,False,False,0.0,0.0,0.0
668,B,A,False,False,0.0,0.0,0.0
667,A,B,False,False,0.0,0.0,0.0
661,A,B,False,False,0.0,0.0,0.0
658,C,A,False,False,0.0,0.0,0.0
650,C,A,False,False,0.0,0.0,0.0
648,A,B,False,False,0.0,0.0,0.0
642,A,B,False,False,0.0,0.0,0.0
641,A,B,False,False,0.0,0.0,0.0
640,D,A,False,False,0.0,0.0,0.0
638,A,B,False,False,0.0,0.0,0.0
629,D,A,False,False,0.0,0.0,0.0
628,C,A,False,False,0.0,0.0,0.0
671,B,A,False,False,0.0,0.0,0.0
789,C,A,False,False,0.0,0.0,0.0
925,C,A,False,False,0.0,0.0,0.0
781,D,A,False,False,0.0,0.0,0.0
771,C,A,False,False,0.0,0.0,0.0
770,B,A,False,False,0.0,0.0,0.0
767,A,B,False,False,0.0,0.0,0.0
766,D,A,False,False,0.0,0.0,0.0
764,C,A,False,False,0.0,0.0,0.0
759,C,A,False,False,0.0,0.0,0.0
756,B,A,False,False,0.0,0.0,0.0
753,C,A,False,False,0.0,0.0,0.0
744,C,A,False,False,0.0,0.0,0.0
704,D,A,False,False,0.0,0.0,0.0
742,B,A,False,False,0.0,0.0,0.0
738,A,B,False,False,0.0,0.0,0.0
733,B,A,False,False,0.0,0.0,0.0
727,A,B,False,False,0.0,0.0,0.0
726,D,A,False,False,0.0,0.0,0.0
725,C,A,False,False,0.0,0.0,0.0
721,B,A,False,False,0.0,0.0,0.0
717,B,A,False,False,0.0,0.0,0.0
714,B,A,False,False,0.0,0.0,0.0
711,C,A,False,False,0.0,0.0,0.0
708,A,B,False,False,0.0,0.0,0.0
707,C,A,False,False,0.0,0.0,0.0
743,B,A,False,False,0.0,0.0,0.0
68,D,A,False,False,0.0,0.0,0.0
67,B,A,False,False,0.0,0.0,0.0
66,C,A,False,False,0.0,0.0,0.0
65,B,A,False,False,0.0,0.0,0.0
30,D,A,False,False,0.0,0.0,0.0
1258,A,B,False,False,0.0,0.0,0.0
1252,B,A,False,False,0.0,0.0,0.0
1251,A,B,False,False,0.0,0.0,0.0
1248,D,A,False,False,0.0,0.0,0.0
1245,B,A,False,False,0.0,0.0,0.0
1242,B,A,False,False,0.0,0.0,0.0
929,C,A,False,False,0.0,0.0,0.0
1234,B,A,False,False,0.0,0.0,0.0
1230,D,A,False,False,0.0,0.0,0.0
1208,D,A,False,False,0.0,0.0,0.0
1205,D,A,False,False,0.0,0.0,0.0
1193,C,A,False,False,0.0,,0.0
1191,C,A,False,False,0.0,0.0,0.0
1190,D,A,False,False,0.0,0.0,0.0
1188,B,A,False,False,0.0,0.0,0.0
1182,A,B,False,False,0.0,0.0,0.0
1179,C,A,False,False,0.0,0.0,0.0
1178,B,A,False,False,0.0,0.0,0.0
1177,B,A,False,False,0.0,0.0,0.0
1236,B,A,False,False,0.0,0.0,0.0
157,A,B,False,False,0.0,0.0,0.0
156,B,A,False,False,0.0,0.0,0.0
155,D,A,False,False,0.0,0.0,0.0
151,D,A,False,False,0.0,0.0,0.0
